dataset_id,specimen_id,comparison,first_method,second_method,nominal_checkpoint,first_action_count,second_action_count,exact_action_jaccard,normalized_symmetric_cell_distance,first_mean_radial_position,second_mean_radial_position,first_minus_second_level2_fraction
74t7kcdgkr,c8-19,learned,global_reconstruction_mask,global_mechanical_mask,0.09375,17,18,0.16666666666666666,0.11163531863546391,0.7099709625428269,0.43487218121315224,0
74t7kcdgkr,c8-19,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,27,0.23255813953488372,0.07539817751331977,0.701420149422866,0.49268673711405325,0
74t7kcdgkr,c8-19,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-19,learned,global_reconstruction_mask,global_mechanical_mask,0.25,63,63,0.96875,0.0016034167373844615,0.6152791657652963,0.6087555957553591,0
74t7kcdgkr,c8-19,oracle,reconstruction_oracle,mechanical_oracle,0.03125,0,0,,,,,
74t7kcdgkr,c8-19,oracle,reconstruction_oracle,mechanical_oracle,0.0625,6,6,0,0.27340125263157955,0.9475864303027555,0.5415840274622837,0
74t7kcdgkr,c8-19,oracle,reconstruction_oracle,mechanical_oracle,0.09375,15,12,0.17391304347826086,0.1275699027420663,0.8425439497234144,0.6164575028527759,-0.09999999999999999
74t7kcdgkr,c8-19,oracle,reconstruction_oracle,mechanical_oracle,0.125,21,19,0.17647058823529413,0.09528127309532945,0.8296213284749145,0.6859448276164546,-0.06265664160401002
74t7kcdgkr,c8-19,oracle,reconstruction_oracle,mechanical_oracle,0.1875,27,27,0.2,0.08750517516738272,0.8315885658390133,0.7023863651842507,0
74t7kcdgkr,c8-19,oracle,reconstruction_oracle,mechanical_oracle,0.25,33,36,0.21052631578947367,0.08379455869571195,0.8260027157650466,0.6921191369772904,0.058080808080808066
74t7kcdgkr,c8-2,learned,global_reconstruction_mask,global_mechanical_mask,0.03125,0,0,,,,,
74t7kcdgkr,c8-2,learned,global_reconstruction_mask,global_mechanical_mask,0.0625,8,8,0.14285714285714285,0.17334148741614824,0.6458129475106507,0.30055909925208985,0
74t7kcdgkr,c8-2,learned,global_reconstruction_mask,global_mechanical_mask,0.09375,17,17,0.1724137931034483,0.11417562069434563,0.7099709625428269,0.4416624105492218,0
74t7kcdgkr,c8-2,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,26,0.20930232558139536,0.08392047794235882,0.701420149422866,0.47317468854151695,0
74t7kcdgkr,c8-2,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-2,learned,global_reconstruction_mask,global_mechanical_mask,0.25,64,64,1,0,0.6148687895716815,0.6148687895716815,0
